Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT1G52230,PsaH2,light reaction,AT1G52230.1,photosystem I subunit H2,---,photosystem I subunit H2 (PSAH2); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit VI (InterPro:IPR004928); BEST Arabidopsis thaliana protein match is: photosystem I subunit H-1 (TAIR:AT3G16140.1); Has 102 Blast hits to 102 proteins in 31 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 100; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,PSI-H,---
ATCG00510,psaI,light reaction,ATCG00510.1,photsystem I subunit I,Encodes subunit I of photosystem I.,"photsystem I subunit I (PSAI); INVOLVED IN: photosynthesis; LOCATED IN: endomembrane system, photosystem I; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre, subunit VIII (InterPro:IPR001302).",PSAI,photsystem I subunit I
ATCG00630,psaJ,light reaction,ATCG00630.1,PSAJ,Encodes subunit J of photosystem I.,"PSAJ; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: oxidation reduction; LOCATED IN: chloroplast thylakoid membrane, photosystem I reaction center; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase subunit VIII/photosystem I reaction centre subunit IX (InterPro:IPR016070), Photosystem I reaction centre, subunit IX / PsaJ (InterPro:IPR002615).",PSAJ,---
AT1G30380,PsaK,light reaction,AT1G30380.1,photosystem I subunit K,Encodes subunit K of photosystem I reaction center.,"photosystem I subunit K (PSAK); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast thylakoid membrane, photosystem I, chloroplast, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I PsaG/PsaK protein (InterPro:IPR000549), Photosystem I reaction centre, PsaK, plant (InterPro:IPR017493), Photosystem I reaction centre, PsaG/PsaK, plant (InterPro:IPR016370); Has 85 Blast hits to 85 proteins in 34 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 85; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",PSAK,photosystem I subunit K
AT4G12800,PsaL,light reaction,AT4G12800.1,photosystem I subunit l,Encodes subunit L of photosystem I reaction center.,"photosystem I subunit l (PSAL); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis, light reaction, photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre, subunit XI PsaL (InterPro:IPR003757); Has 443 Blast hits to 443 proteins in 121 species: Archae - 0; Bacteria - 178; Metazoa - 0; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 178 (source: NCBI BLink).",PSAL,photosystem I subunit l
AT5G64040,PsaN,light reaction,AT5G64040.2,"photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)",Encodes the only subunit of photosystem I located entirely in the thylakoid lumen. May be involved in the interaction between plastocyanin and the photosystem I complex.,"PSAN; FUNCTIONS IN: calmodulin binding; INVOLVED IN: photosynthetic electron transport in photosystem I; LOCATED IN: chloroplast thylakoid membrane, photosystem I, chloroplast thylakoid lumen, chloroplast, chloroplast photosystem I; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit N (InterPro:IPR008796); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",PSAN,---
AT1G08380,PsaO,light reaction,AT1G08380.1,photosystem I subunit O,Encodes subunit O of photosystem I.,"photosystem I subunit O (PSAO); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to salt stress, photosynthesis, light harvesting in photosystem I; LOCATED IN: thylakoid, photosystem I, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I PsaO (InterPro:IPR017498); Has 161 Blast hits to 161 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 159; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",PSAO,photosystem I subunit O
AT2G46820,PsaP,light reaction,AT2G46820.2,photosystem I P subunit,"Encodes the P subunit of Photosystem I. About 25% of the TMP14 pool appeared to be phosphorylated, and this ratio is not affected by light. Contains seven phosphorylation sites on threonine residue and chloroplast targeting signal. Located in the proximity of PSI-L, -H and -O subunits.",photosystem I P subunit (PSI-P); FUNCTIONS IN: DNA binding; INVOLVED IN: photosynthetic electron transport in photosystem I; LOCATED IN: in 6 components; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52220.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,TMP14,THYLAKOID MEMBRANE PHOSPHOPROTEIN OF 14 KDA
ATCG00020,psbA,light reaction,ATCG00020.1,photosystem II reaction center protein A,"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core","photosystem II reaction center protein A (PSBA); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867), Photosynthetic reaction centre, L/M (InterPro:IPR000484); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1).",PSBA,photosystem II reaction center protein A
ATCG00680,psbB,light reaction,ATCG00680.1,photosystem II reaction center protein B,"encodes for CP47, subunit of the photosystem II reaction center.","photosystem II reaction center protein B (PSBB); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction, photosystem II assembly; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932), Photosystem II, PsbB (InterPro:IPR017486); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein C (TAIR:ATCG00280.1).",PSBB,photosystem II reaction center protein B
ATCG00280,psbC,light reaction,ATCG00280.1,photosystem II reaction center protein C,chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.,"photosystem II reaction center protein C (PSBC); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932), Photosystem II protein PsbC (InterPro:IPR005869); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein B (TAIR:ATCG00680.1).",PSBC,photosystem II reaction center protein C
ATCG00270,psbD,light reaction,ATCG00270.1,photosystem II reaction center protein D,PSII D2 protein,"photosystem II reaction center protein D (PSBD); FUNCTIONS IN: electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity; INVOLVED IN: photosynthetic electron transport in photosystem II, photosynthesis, light harvesting in photosystem II; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosynthetic reaction centre, L/M (InterPro:IPR000484), Photosystem II reaction centre protein PsbD/D2 (InterPro:IPR005868); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein A (TAIR:ATCG00020.1).",PSBD,photosystem II reaction center protein D
ATCG00580,psbE,light reaction,ATCG00580.1,photosystem II reaction center protein E,"PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.","photosystem II reaction center protein E (PSBE); FUNCTIONS IN: electron carrier activity, heme binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216), Photosystem II protein cytochrome b559, alpha subunit, lumenal region (InterPro:IPR013082), Photosystem II protein cytochrome b559, alpha subunit (InterPro:IPR006217).",PSBE,photosystem II reaction center protein E
ATCG00570,psbF,light reaction,ATCG00570.1,photosystem II reaction center protein F,PSII cytochrome b559,"photosystem II reaction center protein F (PSBF); FUNCTIONS IN: heme binding, metal ion binding; INVOLVED IN: photosynthetic electron transport chain, photosynthesis, light reaction, photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, beta subunit (InterPro:IPR006241), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216).",PSBF,photosystem II reaction center protein F
ATCG00430,psbG,light reaction,ATCG00430.1,photosystem II reaction center protein G,Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.,"photosystem II reaction center protein G (PSBG); FUNCTIONS IN: 4 iron, 4 sulfur cluster binding, quinone binding, NADH dehydrogenase (ubiquinone) activity, oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: oxidation reduction; LOCATED IN: chloroplast, respiratory chain complex I; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase-like, 20kDa subunit (InterPro:IPR006137), [NiFe]-hydrogenase-3-type complex, small subunit/NADH:quinone oxidoreductase, subunit NuoB (InterPro:IPR014406), NADH:ubiquinone oxidoreductase, 20kDa subunit (InterPro:IPR006138); BEST Arabidopsis thaliana protein match is: NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial (TAIR:AT5G11770.1).",PSBG,photosystem II reaction center protein G
ATCG00710,psbH,light reaction,ATCG00710.1,photosystem II reaction center protein H,"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.","photosystem II reaction center protein H (PSBH); FUNCTIONS IN: phosphate binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II phosphoprotein PsbH (InterPro:IPR001056).",PSBH,photosystem II reaction center protein H
ATCG00080,psbI,light reaction,ATCG00080.1,photosystem II reaction center protein I,PSII I protein,photosystem II reaction center protein I (PSBI); CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbI (InterPro:IPR003686).,PSBI,photosystem II reaction center protein I
ATCG00550,psbJ,light reaction,ATCG00550.1,photosystem II reaction center protein J,PSII component,"photosystem II reaction center protein J (PSBJ); INVOLVED IN: photosynthesis; LOCATED IN: endomembrane system, photosystem II reaction center, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbJ (InterPro:IPR002682).",PSBJ,photosystem II reaction center protein J
ATCG00070,psbK,light reaction,ATCG00070.1,photosystem II reaction center protein K precursor,PSII K protein,photosystem II reaction center protein K precursor (PSBK); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbK (InterPro:IPR003687).,PSBK,photosystem II reaction center protein K precursor
ATCG00560,psbL,light reaction,ATCG00560.1,photosystem II reaction center protein L,PSII L protein,"photosystem II reaction center protein L (PSBL); INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbL (InterPro:IPR003372).",PSBL,photosystem II reaction center protein L
ATCG00220,psbM,light reaction,ATCG00220.1,photosystem II reaction center protein M,PSII low MW protein,"photosystem II reaction center protein M (PSBM); INVOLVED IN: photosynthesis, light reaction; LOCATED IN: endomembrane system, integral to membrane, photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II, PsbM (InterPro:IPR007826).",PSBM,photosystem II reaction center protein M
ATCG00700,psbN,light reaction,ATCG00700.1,photosystem II reaction center protein N,PSII low MW protein,"photosystem II reaction center protein N (PSBN); INVOLVED IN: photosynthesis; LOCATED IN: endomembrane system, photosystem II reaction center, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbN (InterPro:IPR003398).",PSBN,photosystem II reaction center protein N
AT5G66570,PsbO1,light reaction,AT5G66570.1,PS II oxygen-evolving complex 1,Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type.,"PS II oxygen-evolving complex 1 (PSBO1); FUNCTIONS IN: oxygen evolving activity, poly(U) RNA binding; INVOLVED IN: in 6 processes; LOCATED IN: in 10 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II manganese-stabilising protein PsbO (InterPro:IPR002628); BEST Arabidopsis thaliana protein match is: photosystem II subunit O-2 (TAIR:AT3G50820.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",PSBO1,PS II oxygen-evolving complex 1
AT3G50820,PsbO2,light reaction,AT3G50820.1,photosystem II subunit O-2,Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII.,"photosystem II subunit O-2 (PSBO2); FUNCTIONS IN: oxygen evolving activity, poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, photoinhibition, photosystem II assembly, photosystem II stabilization, regulation of protein amino acid dephosphorylation; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II manganese-stabilising protein PsbO (InterPro:IPR002628); BEST Arabidopsis thaliana protein match is: PS II oxygen-evolving complex 1 (TAIR:AT5G66570.1); Has 534 Blast hits to 532 proteins in 148 species: Archae - 0; Bacteria - 144; Metazoa - 1; Fungi - 0; Plants - 207; Viruses - 0; Other Eukaryotes - 182 (source: NCBI BLink).",PSBO2,photosystem II subunit O-2
AT1G06680,PsbP1,light reaction,AT1G06680.2,photosystem II subunit P-1,Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.,"photosystem II subunit P-1 (PSBP-1); FUNCTIONS IN: poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, defense response to bacterium, response to light intensity; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: photosystem II subunit P-2 (TAIR:AT2G30790.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",PSII-P,PHOTOSYSTEM II SUBUNIT P
AT2G30790,PsbP2,light reaction,AT2G30790.1,photosystem II subunit P-2,Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.,"photosystem II subunit P-2 (PSBP-2); FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: photosystem II subunit P-1 (TAIR:AT1G06680.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",PSBP-2,photosystem II subunit P-2
AT4G21280,PsbQ1,light reaction,AT4G21280.2,photosystem II subunit QA,Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II.,"photosystem II subunit QA (PSBQA); FUNCTIONS IN: calcium ion binding; INVOLVED IN: response to light stimulus, peptidyl-cysteine S-nitrosylation, response to light intensity; LOCATED IN: chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast photosystem II, chloroplast, oxygen evolving complex; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbQ (InterPro:IPR008797), Twin-arginine translocation pathway, signal sequence (InterPro:IPR006311); BEST Arabidopsis thaliana protein match is: photosystem II subunit Q-2 (TAIR:AT4G05180.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",PSBQA,photosystem II subunit QA
